 Fatty acid	Both	Carbohydrate	RNA-seq	
LOC102144489	LOC102146136	ATG14	ENSMFAG00000049274	
RPH3AL	POFUT1	KTN1	ZNF487	
DDX60L	CEP250	ARID4A	TMEM95	
OGA	PHF20	LOC123574704	CRTAC1	
PIPOX	EPB41L1	ZFP36L1	TRIM58	
RPL23	RBL1	SLC39A9	ENSMFAG00000058521	
ACSL5	TTI1	PCNX1	PKD1L2	
LOC101865946	SGK2	PSEN1	ENSMFAG00000053198	
LPIN3	MYBL2	ENTPD5	TDRD9	
CYP4F57	RPS21	AREL1	ENSMFAG00000062424	
LOC102121507	RTEL1	FLVCR2	KLHL14	
SWAP70	HDAC10	DGLUCY	ENSMFAG00000060889	
PELI2	SELENOO	TRIP11	AMHR2	
PAFAH1B1	TBC1D22A	LOC102117736	RIBC1	
RPL35A	ATXN10	RIN3	GLYATL1B	
SLC37A1	CENPM	LGMN	ENSMFAG00000047857	
RPL19	ZC3H7B	GOLGA5	ENSMFAG00000038721	
CRYL1	RPL3	IFI27L2	ENSMFAG00000047588	
ZNF846	DDX17	ATG2B	ENSMFAG00000040668	
BSDC1	LGALS2	GSKIP	WBP2NL	
GIMD1	MCM5	DYNC1H1	Metazoa_SRP	
LOC102137002	HMGXB4	LOC123574615	GPRC5D	
LOC102120721	LARGE1	WDR20	ENSMFAG00000048218	
LOC123572205	SYN3	TECPR2	FSCN2	
EDF1	SFI1	CDC42BPB	OR2I1P	
GZMA	NF2	MARK3	ENSMFAG00000003039	
MDK	ZNRF3	ATP5MJ	ENSMFAG00000052852	
VPS35	CHEK2	TEX22	ALOXE3	
LOC102131138	DDT	CRIP1	C8A	
RPS29	BCR	LOC102128706	ENSMFAG00000050925	
KLF6	LOC102119992	ERICH1	RFX2	
EEF2	DGCR8	DEFA6	ENSMFAG00000052913	
HIP1R	CDC45	LOC102126703	ENSMFAG00000037924	
PATJ	MICAL3	CTSB	ENSMFAG00000063767	
PPP1R16A	BID	VPS37A	B3GALT2	
RPL24	LOC102120749	MTUS1	REELD1	
LOC102136444	B4GALNT3	PCM1	ENSMFAG00000049464	
GZMB	ERC1	PDLIM2	ENSMFAG00000056726	
WASHC4	CCND2	TNFRSF10B	ENSMFAG00000052704	
RPS8	GAPDH	PTK2B	ENSMFAG00000051965	
SP100	ING4	GSR	ENSMFAG00000060177	
NR1D2	YBX3	PPP2CB	ENSMFAG00000054745	
DOCK5	DDX11	RAB11FIP1	ENSMFAG00000050795	
CNKSR1	LOC102137606	PLPP5	ENSMFAG00000063535	
GOLGB1	GUCY2C	PCMTD1	ENSMFAG00000043469	
CORO2A	BCAT1	RB1CC1	ENSMFAG00000056318	
NSUN6	FAR2	LOC107130614	ENSMFAG00000062002	
LOC102125912	BICD1	RPS20	ENSMFAG00000060104	
TUT7	TUBA1B	LOC102133215	ENSMFAG00000064746	
ANGPTL2	TMBIM6	RPL7	NAT16	
GRAMD1C	KRT8	PAG1	APOA5	
LOC102136468	CBX5	RPL30	ENSMFAG00000002430	
LOC102136972	CD63	NIPAL2	ENSMFAG00000060920	
HAPLN4	RPS26	LOC102137297	ENSMFAG00000060464	
CNKSR3	ERBB3	NCALD	AK9	
ZCCHC14	PAN2	AZIN1	ENSMFAG00000055466	
LOC102139857	TIMELESS	LOC102127192	PHPT1	
A1CF	NACA	RAD21	ENSMFAG00000002434	
PLD1	PRIM1	LOC102117305	TMEM140	
SMIM22	LRIG3	SNTB1	CFB	
ITPK1	SRGAP1	ANXA13	ENSMFAG00000051508	
ATP5ME	NUP107	FAM91A1	ENSMFAG00000047346	
ACOT12	LOC107126735	NDUFB9	IL18RAP	
ACTG1	PTPRR	WASHC5	TTC16	
CFLAR	TSPAN8	NDRG1	ENSMFAG00000053368	
NUB1	TBC1D15	LOC123575321	FBXO32	
CSNK1G3	KRR1	AGO2	VPS37D	
KSR1	NAP1L1	LOC102141101	ENSMFAG00000058361	
DDX58	E2F7	RPL8	EPS8L1	
ATP5MJ	ACSS3	PFKFB3	ENSMFAG00000062392	
EPS8L2	TMTC2	SFMBT2	ENSMFAG00000060856	
STRADB	CEP290	KIN	ENSMFAG00000047398	
SLC51B	CEP83	BEND7	DOK7	
PLPP2	VSIG10	TMEM236	ENSMFAG00000045700	
NABP1	PEBP1	NSUN6	ENSMFAG00000001624	
MYH9	CIT	LOC102128245	KLKB1	
UBB	RPLP0	PDSS1	ENSMFAG00000048271	
SPRY3	LOC123567603	MARCHF8	SBK2	
NDUFC2	P2RX4	ZMIZ1	ENSMFAG00000064344	
EPSTI1	KDM2B	LOC101866922	TNN	
KYAT1	BCL7A	VSIR	ENSMFAG00000052037	
PPP2R3A	LOC102135300	SGPL1	ENSMFAG00000061510	
ACOT9	KNTC1	EIF4EBP2	ENSMFAG00000057058	
CASP3	HIP1R	PPA1	ENSMFAG00000051164	
KALRN	PITPNM2	TSPAN15	ENSMFAG00000014648	
LOC102123387	SBNO1	PBLD	ENSMFAG00000058969	
TDRD7	RILPL1	A1CF	ENSMFAG00000044085	
STAT4	NCOR2	ANKRD22	ENSMFAG00000056288	
ANXA4	POLE	KIF20B	ENSMFAG00000032396	
ABCC3	FBRSL1	TNKS2	ENSMFAG00000047841	
ADAR	LOC102142983	CPEB3	LRRD1	
SEC23A	PUS1	PDLIM1	ENSMFAG00000049877	
SLC26A11	ULK1	BLNK	ENSMFAG00000059869	
ARMH1	SLC15A4	TM9SF3	ENSMFAG00000058855	
ALDH3A2	LOC102125614	PGAM1	ENSMFAG00000054128	
CLRN3	SCTR	R3HCC1L	ENSMFAG00000061098	
ARHGEF26	ZRANB3	ABCC2	ENSMFAG00000050529	
PRAG1	MCM6	LOC101865946	AP3B2	
ITCH	HNMT	ERLIN1	LDHC	
SEC24A	RIF1	OGA	ZMYND10	
WSB1	FMNL2	GBF1	ENSMFAG00000047264	
LOC102128659	PKP4	WBP1L	C4orf51	
TRIM15	SPC25	NEURL1	VSIG8	
GAPDH	MAP3K20	GSTO1	ENSMFAG00000050871	
TNFRSF21	CDCA7	PDCD4	ENSMFAG00000030058	
SLC16A5	PGAP1	ACSL5	ERVFRD-1	
MUC12	ANKRD44	ZDHHC6	ENSMFAG00000056264	
IFI30	CASP8	TCF7L2	ODAD4	
FAM222A	NOP58	CASP7	PRF1	
SYT5	FAM117B	CCDC186	ENSMFAG00000063253	
PLA2G12B	BARD1	ABLIM1	DLX1	
HNF4G	XRCC5	LOC102146002	ENSMFAG00000040287	
SLC12A6	RPL37A	GRK5	AKAP14	
AKT1S1	USP37	LOC102138706	HLF	
SCML4	DOCK10	TACC2		
GPT	TM4SF20	HTRA1		
TMEM220	SLC19A3	FAM53B		
EMP1	NCL	CTBP2		
LOC102139510	PTMA	EDRF1		
SETD4	SH3BP4	UROS		
KDM4B	AGAP1	MKI67		
LOC102116121	LRRFIP1	PPP2R2D		
LOC107127859	HDAC4	PRAP1		
TRAF2	GPR35	ENTPD6		
NDUFA1	LOC102127131	RIN2		
ATP1B3	PASK	SLC24A3		
CD163	ING5	SNRPB2		
TTC39B	D2HGDH	LOC102145389		
DHRS7B	UXS1	SDCBP2		
ZBTB8OS	LOC102121512	PSMF1		
DAPK3	TSGA10	TBC1D20		
CORO7	PROM2	CHMP4B		
LOC102145217	GCC2	ITCH		
LOC102134263	ANAPC1	LOC101866791		
LOC102142596	FABP1	DLGAP4		
TMEM150B	TMSB10	RPN2		
TMCO4	TRABD2A	TOP1		
RPS13	LOC102140919	LPIN3		
ELMOD3	LOC102141707	SGK2		
LOC102137297	LOC102143004	SERINC3		
BLCAP	ALMS1	ZNFX1		
TAX1BP1	EHBP1	SLC9A8		
PLIN1	SANBR	ZNF217		
TENT5A	RPS27A	RTF2		
NEDD9	MSH6	PCK1		
KHK	MSH2	RAB22A		
LOC123571589	EPCAM	ATP5F1E		
VSIG10	PIGF	OSBPL2		
UGP2	PRKCE	RPS21		
SPHK2	SRBD1	OGFR		
BMP2K	LCLAT1	DIDO1		
TMEM144	DNMT3A	BRD1		
PARP12	APOB	GRAMD4		
TJAP1	SMC6	TTC38		
NCOA1	LOC123568281	NUP50		
CDH1	RRM2	SREBF2		
GCNT2	CPSF3	ACO2		
MAX	RNF144A	EP300		
SGK1	RPS7	TNRC6B		
VSIR	SH3YL1	MIEF1		
TRPV1	NCAPD3	RPL3		
KAT2B	CHEK1	JOSD1		
LHB	UBASH3B	LGALS2		
KDM4A	RPS25	MYH9		
ACADL	KMT2A	FBXO7		
ARID4A	APOA1	SLC5A1		
IRF9	APOC3	ASCC2		
PGAP6	APOA4	THOC5		
ZSCAN25	MAML2	XBP1		
MYL6	CEP57	LOC102127080		
CD63	MRE11	CHCHD10		
XYLT1	TAF1D	DDT		
SAR1B	CEP295	LOC102119992		
IDNK	GAB2	UBE2L3		
KIAA1109	RPS3	HIC2		
STAU2	ARRB1	MED15		
PMM1	RNF169	DGCR2		
ARL14	POLD3	BID		
MGST3	FCHSD2	KDM5A		
FBXL20	RRM1	LTBR		
LASP1	ZNF215	GAPDH		
RPS17	RPL27A	LPAR5		
CRACD	DENND5A	ING4		
CTNND1	RPS13	LOC102137606		
LOC102123220	E2F8	BCL2L14		
NFKBIZ	NAV2	LRP6		
PPP1R21	CCDC34	HEBP1		
PAN3	CD44	PLBD1		
USP40	LDLRAD3	GUCY2C		
ITGB4	CREB3L1	LOC102132379		
CARD11	ARHGAP1	BCAT1		
LMF1	C14H11orf49	RESF1		
DNAH12	DDB2	TMBIM6		
CTSH	MADD	DAZAP2		
HOOK2	SLC39A13	KRT8		
LOC107126403	NUP160	PRR13		
LOC123571591	PTPRJ	ATP5MC2		
AFDN	LOC102117510	CD63		
FAM102A	LOC107127264	PYM1		
SMG1	FAM111B	RAB5B		
ANKS4B	VWCE	RPS26		
RB1CC1	FTH1	ERBB3		
TRANK1	EEF1G	MYL6		
SKAP2	NAA40	STAT2		
F11R	LOC102139510	ATP5F1B		
LOC102127192	MACROD1	NACA		
LOC102137208	FAU	CTDSP2		
RPL37	POLA2	HELB		
ST6GALNAC1	PACS1	LOC107126735		
NRL	RAD9A	PTPRR		
JCHAIN	GSTP1	TSPAN8		
PARP3	LRP5	ZFC3H1		
KLHL24	CPT1A	PPP1R12A		
CLDN7	SHANK2	ACSS3		
TMEM106A	ZNF195	BTG1		
TAOK3	KCNQ1	SLC25A3		
ATP5F1D	MUC2	CHPT1		
ACADVL	CHID1	HSP90B1		
N4BP2L2	RPLP2	WASHC4		
MARVELD3	SIGIRR	APPL2		
LYPD8	IFITM1	SART3		
FOSL2	AOPEP	MMAB		
RWDD1	FANCC	ARPC3		
ATP7B	ERCC6L2	LOC102119836		
GDPD1	WNK2	ALDH2		
FLNB	LOC102127805	RPL6		
WBP1L	IARS1	TPCN1		
SPINT1	SEMA4D	VSIG10		
RNF121	GOLM1	PEBP1		
LOC102131393	IDNK	RPLP0		
PLCG2	SMC5	LOC102141433		
KIAA1217	GLIS3	COQ5		
TGOLN2	SLC1A1	RNF10		
PTK6	KIAA2026	HNF1A		
CACHD1	IL33	P2RX4		
SEMA3B	UHRF2	KDM2B		
CTIF	PSIP1	LOC123567605		
LOC123569162	CCDC171	HIP1R		
LOC102116308	LOC102138671	VPS37B		
LOC102141433	UBAP2	SBNO1		
FER1L6	MELK	UBC		
IL13RA1	ANP32B	DHX37		
TMPRSS2	ANKS6	GOLGA3		
CSNK1D	GALNT12	ANKLE2		
SOS2	SMC2	MYO7B		
KIAA2026	SLC44A1	IWS1		
GNLY	FSD1L	LOC102125614		
LOC102142158	ZNF462	UBXN4		
CD302	RGS3	HNMT		
PLEC	AKNA	ARHGAP15		
RPS7	CDK5RAP2	RND3		
GSTO1	LOC102117895	LY75		
DSC2	NR6A1	ITGB6		
DEGS2	MVB12B	DPP4		
PLEKHG1	RPL12	IFIH1		
TJP3	COQ4	NOSTRIN		
RPL3	GLE1	CIR1		
MEIOB	DYNC2I2	ITGAV		
SLC39A13	USP20	STAT1		
LOC101865795	PRRC2B	STK17B		
TTC17	RAPGEF1	CLK1		
BID	DDX31	CASP10		
NDST1	EHMT1	CASP8		
TBC1D23	NSMF	FAM117B		
MYO1E	NOXA1	CARF		
ABCG8	EXD3	EEF1B2		
LOC123566771	NELFB	ARPC2		
ARPC3	LOC123569208	CYP27A1		
TEC	WDR5	LOC101867207		
SLC9A8	BRD3	SGPP2		
HTR7	RPL7A	TM4SF20		
LOC102144039	B3GNTL1	SLC19A3		
TMEM72	TBCD	SP140L		
TMEM272	FN3K	SP100		
GPD1L	LOC101926623	EIF4E2		
TMEM256	SLC16A3	KCNJ13		
POF1B	LRRC45	USP40		
RPLP2	LOC102141648	UGT1A8		
B3GNT2	SLC38A10	RAB17		
RPL9	RPTOR	UBE2F		
LMO4	RNF213	LOC102127131		
POLD4	CARD14	LOC102147047		
LOC102125614	TBC1D16	C13H2orf49		
MALL	SEPTIN9	EIF5B		
BICDL2	SEC14L1	MGAT4A		
AATK	LOC101925788	VWA3B		
ITM2B	ITGB4	GCC2		
VPS54	RPL38	ZC3H6		
ETFB	LOC107127852	FABP1		
FGGY	BPTF	RMND5A		
ZSWIM8	PITPNC1	LOC102131403		
NOP9	AXIN2	GNLY		
SCPEP1	DDX42	ELMOD3		
AOC1	DCAKD	TMSB10		
MTMR4	NBR1	LOC102140919		
ATG2B	BRCA1	LOC102141707		
C4H6orf132	RPL27	LOC102143004		
TSG101	LOC102133217	MXD1		
RND3	KRT20	MEIS1		
PSMB8	ERBB2	ACTR2		
CCL25	STARD3	PELI1		
RNF152	PPP1R1B	VPS54		
TSPAN3	FBXL20	B3GNT2		
HBP1	RPL19	XPO1		
SEPTIN9	RPL23	PPP4R3B		
PDLIM5	SKAP1	RPS27A		
LOC107126735	TTLL6	PPP1R21		
SYTL3	LOC123569397	EPCAM		
NEURL1B	MSI2	STPG4		
MAN1A1	BRIP1	THUMPD2		
MB21D2	TAF15	MAP4K3		
PLA2G4F	ASIC2	SOS1		
BIRC6	LOC102134263	GALM		
RPL14	ATAD5	EIF2AK2		
PCED1B	SUZ12	XDH		
ZNF821	RAI1	CAPN13		
ABCA4	ADORA2B	FOSL2		
TCN2	UBB	ADGRF3		
TPM4	ARHGAP44	UBXN2A		
COQ4	STX8	APOB		
SEPTIN7	RPL41	CPSF3		
RNF125	TP53	RPS7		
CLDN4	LOC123569447	ZBTB44		
STX12	LOC123569448	APLP2		
CACNA1A	MINK1	NFRKB		
PIGL	TM4SF5	TMEM45B		
UAP1	PELP1	BARX2		
SELENOP	RAP1GAP2	FAM118B		
LOC102115229	RPA1	GRAMD1B		
PDE4D	SMYD4	RPS25		
PKN1	ABR	LOC102143300		
DENND5B	RPH3AL	ARCN1		
MKRN1	EEF1AKMT1	UBE4A		
TBL1X	MPHOSPH8	APOA1		
SPTBN1	SPATA13	APOC3		
LOC102127351	CENPJ	APOA4		
LOC102139623	RPL21	FDX1		
SPSB1	MTIF3	EXPH5		
STXBP2	SLC7A1	CASP5		
SLU7	HMGB1	BIRC2		
LOC102131040	B3GLCT	LOC102137780		
RACK1	FRY	MAML2		
SAT2	BRCA2	C14H11orf54		
LGALS8	STARD13	PCF11		
VIPR1	RFC3	RAB30		
CALM1	DGKH	INTS4		
TPRKB	TPT1	AAMDC		
AAMDC	RB1	RSF1		
MBOAT1	LOC107127956	RPS3		
GCC2	OLFM4	ARAP1		
BATF2	DIAPH3	NUP98		
GLRX	TBC1D4	ZNF215		
SLC24A3	MYCBP2	PPFIBP2		
LOC102119047	TMTC4	RPL27A		
ACADM	IRS2	SWAP70		
CLCN5	CARS2	EIF4G2		
OTUD7B	TUBGCP3	COPB1		
KCNMB3	MCF2L	RPS13		
LTA4H	LOC123569869	TSG101		
BLVRB	GRTP1	CD59		
VPS37A	TFDP1	CAT		
CABLES1	LOC102127209	API5		
LOC102147203	ATP9B	CD82		
TMED4	RTTN	PEX16		
LOC101866922	LOC102132993	CREB3L1		
RPS27	BCL2	ATG13		
EXPH5	CCBE1	ARHGAP1		
CLTB	MBD2	MADD		
MXI1	CTIF	SLC39A13		
MAML2	LOC123569991	PTPRJ		
LRRC19	KIAA1328	LOC102117510		
SELENOI	TAF4B	MS4A8		
IL10RB	OSBPL1A	DDB1		
VPS39	TMEM241	FTH1		
TNFSF4	RBBP8	AHNAK		
CEP120	GREB1L	UBXN1		
FLT3LG	THOC1	LOC102139510		
CALM3	TYMS	BATF2		
ATP8B4	ENOSF1	FAU		
TNRC18	LOC102128257	CFL1		
PIK3C2B	LAMA1	SF3B2		
NUAK2	IMPA2	KDM2A		
P2RX4	CEP192	GSTP1		
TLCD4	LDLRAD4	NDUFS8		
STAT1	PLPP2	CPT1A		
SLC1A1	C2CD4C	NADSYN1		
LOC101866300	SHC2	MOB2		
CLDN3	POLRMT	MUC2		
CPEB4	STK11	AP2A2		
SLC25A6	DAZAP1	RPLP2		
FAT1	RPS15	CDHR5		
CBLC	LOC102128659	PHRF1		
ALDH18A1	KLF16	IFITM1		
KRTCAP2	CSNK1G2	FBP1		
APC	BTBD2	ERCC6L2		
HNMT	DOT1L	SLC35D2		
LOC123570323	NFIC	TUT7		
LOC123575187	EEF2	GOLM1		
NDFIP2	CHAF1A	LOC102136791		
LPGAT1	UHRF1	C15H9orf85		
GADD45A	RPL36	CEMIP2		
LOC102117510	RFX2	DOCK8		
ABHD2	INSR	SLC1A1		
CAPN5	CCL25	AK3		
SEMA4B	RPS28	KIAA2026		
MACROD2	DNMT1	HAUS6		
APOL4	KEAP1	PLIN2		
TMEM82	ILF3	RPS6		
IL15	DNM2	CDKN2B		
GPBP1L1	SMARCA4	LRRC19		
KIAA0319L	TNPO2	CHMP5		
NR2F6	ZSWIM4	NFX1		
ACTN4	AKAP8	TLN1		
INVS	MYO9B	TDRD7		
LOC102117303	RPL18A	ALDOB		
KDM7A	SSBP4	RNF20		
IGSF3	UBA52	TMEM38B		
LOC123575329	LOC102126491	LOC102121945		
VWCE	LOC102134430	UGCG		
RPL38	RHPN2	SUSD1		
PRKD2	GPATCH1	CNTRL		
DQX1	LRP3	RC3H2		
RAB11FIP1	KCTD15	MVB12B		
DGKD	UBA2	LRSAM1		
ANXA2	C19H19orf33	FAM102A		
SLC22A18	HNRNPL	SLC27A4		
TNRC6B	RPS16	SPTAN1		
LRRC28	LOC102131857	ZER1		
MOCOS	BLVRB	LRRC8A		
RNLS	RPS19	FNBP1		
IFIH1	LOC102131217	LOC123569208		
LOC102124884	LOC102139859	RXRA		
LOC102121295	LIG1	VAV2		
ARHGEF18	LOC101925999	FN3K		
HDAC9	RPL18	CSNK1D		
PI4K2B	RPL13A	CCDC137		
DMAP1	RPS11	NPLOC4		
FAM126B	LOC102124147	ACTG1		
GLO1	ETFB	SLC38A10		
HECTD3	RPS9	RNF213		
FAM214A	CDC42EP5	SLC26A11		
SLC25A5	RPS5	CANT1		
SMS	SLC27A5	PGS1		
NFAT5	NPRL3	TNRC6C		
EIF2AK2	AXIN1	UBE2O		
LOC101866379	RAB40C	UBALD2		
MCPH1	WDR90	ACOX1		
ANTXR2	LMF1	MYO15B		
RPL36	MAPK8IP3	LLGL2		
AZIN1	RPS2	JPT1		
TNFRSF14	LOC107128348	SLC9A3R1		
HINT1	LOC123570453	RPL38		
DHRS1	LOC123570452	CDC42EP4		
FAAH2	BICDL2	BPTF		
CRY1	TRAP1	PITPNC1		
NR5A2	TFAP4	HELZ		
UROS	MGRN1	CCDC47		
RPS2	ANKS3	LOC102128376		
LOC102132790	CARHSP1	PLEKHM1		
ATP5IF1	ATF7IP2	ARHGAP27		
LOC102128672	MPV17L	HDAC5		
TECPR1	ABCC1	TMEM106A		
CA13	XYLT1	NBR1		
TMEM59	LOC102136972	RPL27		
DGAT1	VPS35L	G6PC1		
IRF8	GGA2	STAT3		
FOXJ3	TMEM219	ACLY		
ABCD4	ZG16	LOC102136550		
PRLR	FUS	EIF1		
LCP1	ZNF843	LOC102133217		
RAB4B	RUSF1	KRT20		
PLCB3	SHCBP1	TOP2A		
SLC23A3	ORC6	GRB7		
WDFY1	NETO2	ERBB2		
KIAA0232	LONP2	FBXL20		
CASP4	LPCAT2	RPL19		
STAT2	NLRC5	LASP1		
HMGCL	TERB1	RPL23		
RPS3A	HSD11B2	CDK5RAP3		
CYP2C18	ZFHX3	NFE2L1		
IL6ST	PMFBP1	SKAP1		
SDF4	DHX38	ABCC3		
SNRPB2	SF3B3	ANKRD40CL		
CD82	FCSK	MBTD1		
PELI1	CNTNAP4	LOC123569397		
ACSS1	WWOX	TRIM25		
SMLR1	ATP2C2	YPEL2		
WWC1	COTL1	APPBP2		
ASB13	LOC102144280	DDX52		
GATA6	ZC3H18	HEATR6		
ITPKC	LOC102143777	LOC102134263		
PRDM16	PIEZO1	WSB1		
THEMIS	APRT	ALDH3A2		
SPSB3	RPL13	ADORA2B		
SHPK	LOC107128397	UBB		
ZFAND2B	FANCA	TMEM238L		
ASRGL1	SPIRE2	TMEM220		
CD36	DEF8	RPL41		
DTX2	PPP2R3B	POLR2A		
SLC16A10	ASMTL	CLDN7		
C1H1orf115	DHRSX	RNASEK		
LRP6	CD99	LOC123569447		
CHMP1A	GYG2	LOC107127711		
NAAA	ARSD	TM4SF5		
HYI	PRKX	ANKFY1		
LOC123570479	LOC102117354	SHPK		
DCAF11	TBL1X	RAP1GAP2		
B4GALT1	S100G	LOC107127707		
TAX1BP3	TXLNG	PAFAH1B1		
ERICH4	NHS	SLC43A2		
CCDC91	SCML2	PITPNA		
TNS3	POLA1	INPP5K		
PLXNB2	BCOR	ABR		
SBNO2	SMC1A	EEF1AKMT1		
MAU2	NBDY	CRYL1		
BTD	FAAH2	MICU2		
CDK19	MTMR8	SPATA13		
UHRF1BP1L	ZC4H2	PARP4		
RASSF4	EDA	RPL21		
MAB21L4	KIF4A	HMGB1		
CRAT	RPS4X	FRY		
GNB2	HDAC8	WBP4		
DHX58	PHKA1	TPT1		
TJP2	RPS6KA6	KLF12		
GCLC	LOC102125097	LMO7		
ECHDC2	RPL39	MBNL2		
TSC22D3	NDUFA1	SLC15A1		
FRMD1	LOC102128946	TM9SF2		
LOC107128262	RBMX	IRS2		
ATP5F1A	FGF13	ARHGEF7		
MINDY2	RPL10	LAMP1		
OPTN	LOC123571572	TMCO3		
LOC123572909	LOC102114874	CTDP1		
STPG4	LOC102118508	LOC101925125		
ABHD3	LOC123571590	LOC102126216		
LOC102146499	LOC123571589	LOC102132993		
ARSD	LOC123571591	RNF152		
SLC25A15	LOC123571594	CCDC68		
RAB8A	LOC102140002	RPL17		
TRAF4	LOC102117143	SMAD7		
TMEM92	LOC123571638	ATP5F1A		
CDC42SE2		PIK3C3		
MBNL2		TPGS2		
PLEKHA8		MEP1B		
ENOSF1		DSC2		
GNPAT		NPC1		
FAM114A1		RIOK3		
LOC102133263		ENOSF1		
BAIAP2		YES1		
HELQ		LOC102124550		
RNASET2		MYL12B		
ERICH1		AFG3L2		
LOC123567885		BSG		
HDAC5		SBNO2		
FHL2		STK11		
MVB12A		ATP5F1D		
EHHADH		RPS15		
SERGEF		LOC102128659		
NR1H3		BTBD2		
ORC2		AP3D1		
MAP3K11		SMIM24		
BICRA		DAPK3		
GRTP1		EEF2		
MARCHF8		LOC102140855		
TRAK2		CREB3L3		
IFI35		STAP2		
GLCCI1		SH3GL1		
AKAP9		DPP9		
FBXO8		RPL36		
AP2A2		INSR		
NUMA1		ARHGEF18		
SUSD1		CAMSAP3		
LOC102128245		CCL25		
TEP1		RPS28		
PHLDB3		LOC102128263		
CDC42EP5		ZNF846		
LOC123571630		DNM2		
SIRT2		LOC102125821		
PML		TRIR		
SLC29A2		PKN1		
LNX2		BRD4		
MICAL1		AKAP8		
PDPR		CYP4F12		
NPC1L1		CYP4F2		
SERF2		MED26		
KLF4		RPL18A		
FAM234A		IFI30		
PSTPIP2		ELL		
LOC102134891		UBA52		
ERLIN1		CRTC1		
LOC102144564		UPF1		
CALCOCO2		MAU2		
LOC102134805		GATAD2A		
ARL4A		NDUFA13		
NAPRT		ATP13A1		
LOC102145051		LOC102128268		
POLR2H		LOC102136574		
CALML4		C19H19orf12		
LOC102125097		RHPN2		
BNIP5		PEPD		
LOC101926166		LSR		
BDH2		LOC102143756		
CIR1		ZNF382		
KIAA1522		SIPA1L3		
CD200		SPINT2		
SCP2		C19H19orf33		
SPAG9		ACTN4		
DPP8		LGALS4		
LOC102139567		ECH1		
MAP2K3		RPS16		
RELB		SUPT5H		
IFNE		LOC102131857		
TACC2		BLVRB		
NR3C1		HNRNPUL1		
PGRMC1		BCKDHA		
TSPAN15		RPS19		
MAP4K3		GRIK5		
CTDSP1		ZNF226		
BTBD9		CEACAM20		
PPFIBP2		IGSF23		
		NECTIN2		
		LOC102137208		
		EML2		
		ZC3H4		
		RPL18		
		LOC102121606		
		RPL13A		
		RPS11		
		MYH14		
		LOC102124147		
		ETFB		
		ZNF841		
		PPP2R1A		
		ZNF480		
		ZNF528		
		ZNF534		
		ZNF808		
		LOC107128271		
		RPS9		
		CDC42EP5		
		PTPRH		
		PPP6R1		
		TMEM238		
		RPL28		
		ZNF418		
		LOC102130589		
		RPS5		
		PGAP6		
		RAB40C		
		UBE2I		
		UNKL		
		RPS2		
		ECI1		
		LOC101866379		
		LOC123570452		
		KCTD5		
		BICDL2		
		ZNF75A		
		NAA60		
		DNASE1		
		LOC102135037		
		CORO7		
		MGRN1		
		METTL22		
		PMM2		
		C20H16orf72		
		ATF7IP2		
		RSL1D1		
		MARF1		
		NDE1		
		LOC102136972		
		TMC5		
		GDE1		
		VPS35L		
		ACSM5		
		ANKS4B		
		CHP2		
		ARHGAP17		
		GTF3C1		
		KCTD13		
		LOC101865522		
		ZG16		
		VPS35		
		NETO2		
		RBL2		
		LPCAT2		
		NLRC5		
		LOC102123387		
		KIFC3		
		DYNC1LI2		
		CA7		
		LOC102120721		
		CDH1		
		DHX38		
		ZNF821		
		MARVELD3		
		VAC14		
		IL34		
		PDPR		
		FA2H		
		MAF		
		LOC102116129		
		PLCG2		
		HSD17B2		
		MLYCD		
		OSGIN1		
		KLHL36		
		LOC102144280		
		ZCCHC14		
		KLHDC4		
		RPL13		
		SPIRE2		
		DEF8		
		SLC25A6		
		ARSD		
		OFD1		
		ACE2		
		S100G		
		SYAP1		
		RPS6KA3		
		SAT1		
		USP9X		
		DDX3X		
		MAOA		
		MAOB		
		KDM6A		
		OTUD5		
		FAAH2		
		IGBP1		
		LOC123571107		
		RPS4X		
		LOC102124180		
		LOC102125097		
		WDR44		
		SLC25A5		
		RPL39		
		NDUFA1		
		ADGRG4		
		FGF13		
		RPL10		
		TMLHE		
		LOC123571590		
		LOC123571589		
		LOC102116774		
		LOC102140002		
		LOC102117143		
